GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
caps,com.caps,App,7,0,0,0,3,0,2,0,2,0
caps,com.caps.lexer,SemicolonToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,ExecutesToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,EqualsToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,TokenizerException,0,4,0,0,0,2,0,1,0,1
caps,com.caps.lexer,MinusToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,BooleanToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,StringStartToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,WhileToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,IfToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,LogicalOrToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,PrintToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,StringToken,9,19,2,2,2,4,4,2,2,2
caps,com.caps.lexer,PrognToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,FalseToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,IsToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,CommaToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,RightBracketToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,ForwardSlashToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,IntToken,4,22,2,2,1,5,3,3,1,3
caps,com.caps.lexer,DoubleToken,9,19,2,2,2,4,4,2,2,2
caps,com.caps.lexer,Tokenizer,2,697,3,61,1,118,3,40,0,11
caps,com.caps.lexer,LessThanToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,LeftBracketToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,ElseToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,StringEndToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,RightParenToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,IdentifierToken,5,23,2,2,1,5,3,3,1,3
caps,com.caps.lexer,StrToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,CallToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,ReturnsToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,LogicalAndToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,AsteriskToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,DefineToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,LeftParenToken,2,8,0,0,1,3,1,3,1,3
caps,com.caps.lexer,NumberToken,2,8,0,0,1,4,1,3,1,3
caps,com.caps.lexer,GreaterThanToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,PlusToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.lexer,TrueToken,4,6,0,0,2,2,2,2,2,2
caps,com.caps.parser,GreaterThanOp,4,6,0,0,2,2,2,2,2,2
caps,com.caps.parser,PlusOp,4,6,0,0,2,2,2,2,2,2
caps,com.caps.parser,BlockType,10,19,2,2,2,5,4,2,2,2
caps,com.caps.parser,WhileStmt,19,30,3,3,5,8,5,2,2,2
caps,com.caps.parser,DivideOp,4,6,0,0,2,2,2,2,2,2
caps,com.caps.parser,MinusOp,4,6,0,0,2,2,2,2,2,2
caps,com.caps.parser,BlockVar,10,19,2,2,2,5,4,2,2,2
caps,com.caps.parser,ExpStmt,11,18,1,1,3,6,3,2,2,2
caps,com.caps.parser,ParseException,0,4,0,0,0,2,0,1,0,1
caps,com.caps.parser,MethodDefStmt,33,48,5,5,7,12,7,2,2,2
caps,com.caps.parser,VardecStmt,19,30,3,3,5,7,5,2,2,2
caps,com.caps.parser,IntType,10,0,0,0,4,0,4,0,4,0
caps,com.caps.parser,ParenthesizedExp,29,0,4,0,7,0,6,0,4,0
caps,com.caps.parser,Param,19,30,3,3,5,7,5,2,2,2
caps,com.caps.parser,VariableExp,10,19,2,2,2,5,4,2,2,2
caps,com.caps.parser,ExecuteExp,19,30,3,3,3,7,5,2,2,2
caps,com.caps.parser,CallExp,19,30,3,3,5,7,5,2,2,2
caps,com.caps.parser,AssignStmt,49,0,6,0,13,0,7,0,4,0
caps,com.caps.parser,BoolType,10,0,0,0,4,0,4,0,4,0
caps,com.caps.parser,Program,10,19,2,2,2,5,4,2,2,2
caps,com.caps.parser,LogicalOrOp,10,0,0,0,4,0,4,0,4,0
caps,com.caps.parser,LogicalAndOp,10,0,0,0,4,0,4,0,4,0
caps,com.caps.parser,ReturnsStmt,11,18,1,1,4,6,3,2,2,2
caps,com.caps.parser,ProgonStmt,10,19,2,2,2,5,4,2,2,2
caps,com.caps.parser,MultOp,4,6,0,0,2,2,2,2,2,2
caps,com.caps.parser,NumberLiteralExp,8,18,2,2,2,4,4,2,2,2
caps,com.caps.parser,BooleanLiteralExp,30,0,6,0,6,0,7,0,4,0
caps,com.caps.parser,IfElseStmt,26,39,4,4,3,8,6,2,2,2
caps,com.caps.parser,ParseResult,17,29,3,3,3,7,5,2,2,2
caps,com.caps.parser,PrintExp,10,19,2,2,2,5,4,2,2,2
caps,com.caps.parser,BinaryOperatorExp,62,0,8,0,17,0,8,0,4,0
caps,com.caps.parser,BlockParam,10,19,2,2,2,5,4,2,2,2
caps,com.caps.parser,Parser,86,1119,10,42,11,216,10,46,0,30
caps,com.caps.parser,NumberType,4,6,0,0,2,2,2,2,2,2
caps,com.caps.parser,IsStmt,65,0,8,0,13,0,8,0,4,0
caps,com.caps.parser,ArithmeticExp,26,39,4,4,8,10,6,2,2,2
